id,title,publishedAt,guest,episode,topics,tags,duration,viewCount,likeCount,commentCount
ktuw6Ow4sd0,"John Danaher: The Path to Mastery in Jiu Jitsu, Grappling, Judo, and MMA | Lex Fridman Podcast #182",2021-05-09T18:52:27Z,John Danaher,182,"The Path to Mastery in Jiu Jitsu, Grappling, Judo, and MMA","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,john danaher,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",3hr 37min 54s,1731326,24212,1984
TPXTmVdlyoc,"Sergey Nazarov: Chainlink, Smart Contracts, and Oracle Networks | Lex Fridman Podcast #181",2021-05-01T07:35:52Z,Sergey Nazarov,181,"Chainlink, Smart Contracts, and Oracle Networks","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,sergey nazarov",2hr 59min 57s,819861,13731,1567
USnqkUAr_3w,Jeremi Suri: History of American Power | Lex Fridman Podcast #180,2021-04-30T01:40:46Z,Jeremi Suri,180,History of American Power,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,jeremi suri,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",2hr 8min 48s,463315,8156,947
fIPxfzfOTxk,Georges St-Pierre: The Science of Fighting | Lex Fridman Podcast #179,2021-04-26T03:34:31Z,Georges St-Pierre,179,The Science of Fighting,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,georges st-pierre,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",2hr 43min 9s,1103374,24457,1914
Pl3x4GINtBQ,"Michael Malice and Yaron Brook: Ayn Rand, Human Nature, and Anarchy | Lex Fridman Podcast #178",2021-04-24T17:34:23Z,Michael Malice and Yaron Brook,178,"Ayn Rand, Human Nature, and Anarchy","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,michael malice and yaron brook,mit ai",4hr 25min 19s,534153,16211,3125
CY_LEa9xQtg,Risto Miikkulainen: Neuroevolution and Evolutionary Computation | Lex Fridman Podcast #177,2021-04-19T05:09:30Z,Risto Miikkulainen,177,Neuroevolution and Evolutionary Computation,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,risto miikkulainen",1hr 56min 17s,108927,2624,346
HrehEWYj16s,Robert Breedlove: Philosophy of Bitcoin from First Principles | Lex Fridman Podcast #176,2021-04-17T22:44:52Z,Robert Breedlove,176,Philosophy of Bitcoin from First Principles,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,robert breedlove",4hr 3min 49s,446708,12625,1839
dmVqpx4YOY4,Yannis Pappas: History and Comedy | Lex Fridman Podcast #175,2021-04-12T20:39:30Z,Yannis Pappas,175,History and Comedy,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,yannis pappas",1hr 50min 49s,294791,5827,884
7Grseeycor4,Tyler Cowen: Economic Growth & the Fight Against Conformity & Mediocrity | Lex Fridman Podcast #174,2021-04-10T20:12:28Z,Tyler Cowen,174,Economic Growth & the Fight Against Conformity & Mediocrity,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,tyler cowen",2hr 9min 58s,292616,5392,628
mDyBbGCiBUU,"Nic Carter: Bitcoin Core Values, Layered Scaling, and Blocksize Debates | Lex Fridman Podcast #173",2021-04-01T02:13:05Z,Nic Carter,173,"Bitcoin Core Values, Layered Scaling, and Blocksize Debates","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,nic carter",2hr 27min 15s,576945,12583,2018
